link,image_url,text
https://www.bewakoof.com/p/mens-blue-striped-hooded-sweatshirtccc,https://images.bewakoof.com/t640/men-s-blue-striped-hooded-sweatshirt-546019-1664439387-1.jpg,Men's Blue Striped Hooded Sweatshirt-Front Bewakoof 
https://www.bewakoof.com/p/mens-black-graphic-printed-hooded-sweatshirt22,https://images.bewakoof.com/t640/men-s-black-graphic-printed-hooded-sweatshirt-546029-1664438680-1.jpg,Men's Black Graphic Printed Hooded Sweatshirt-Front Bewakoof 
https://www.bewakoof.com/p/men-friends-logo-printed-sweatshirt-men,https://images.bewakoof.com/t640/men-friends-logo-printed-sweatshirt-557029-1670918374-1.jpg,Men's Red Friends Logo Typography Sweatshirt-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-washed-jeans-10-men-blue,https://images.bewakoof.com/t640/men-s-blue-washed-jeans-555173-1668673901-1.jpg,Men's Blue Washed Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-slim-fit-jeans-15,https://images.bewakoof.com/t640/men-s-blue-slim-fit-jeans-558167-1669974190-1.jpg,Men's Blue Slim Fit Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-washed-slim-fit-jeans-16-men,https://images.bewakoof.com/t640/men-s-blue-washed-slim-fit-jeans-558168-1669974575-1.jpg,Men's Blue Washed Slim Fit Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-washed-slim-fit-jeans-3-men-blue,https://images.bewakoof.com/t640/men-s-blue-washed-slim-fit-jeans-558169-1669974449-1.jpg,Men's Blue Washed Slim Fit Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-slim-fit-jeans-4,https://images.bewakoof.com/t640/men-s-blue-slim-fit-jeans-555165-1668674616-1.jpg,Men's Blue Slim Fit Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-blue-washed-slim-fit-jeans-11-men,https://images.bewakoof.com/t640/men-s-blue-washed-slim-fit-jeans-555166-1668674104-1.jpg,Men's Blue Washed Slim Fit Jeans-Front Bewakoof 
https://www.bewakoof.com/p/mens-grey-jacket-35,https://images.bewakoof.com/t640/men-s-grey-jacket-555126-1668585726-1.jpg,Men's Grey Jacket-Front Bewakoof 
